,Date,Time,Company Name,Current Feelings,Future Expectations,Need Now,City,Expect_recovery,Change_In_Life
44,15-04-2020,19:46,Poet and writer,It is an universal test of mankind.time for self reflection and asking Allahs blessings,There will b a positive change in day todays life.Arms and immunitations cannit fight hunger and economic down fall.,Allah forgive us.,Karachi,1 year,No Change
45,15-04-2020,19:46,Home,Isolated,None,Interaction,Qatar,3 months,No Change
46,15-04-2020,19:46,Why you need to know,Mmm,Different world,Job security,Doha,6 months,No Change
47,15-04-2020,19:46,INGO(contractual bases),"Overall nothing as I am working from home , helping kids in theirs studies and posting school website , house cleaning, gardening are some additional workload during quarnatine",Seems vulnerable,I am working as fee lance research and writer now organisation and company are avoiding to make payments,Karachi,1 month,No Change
48,15-04-2020,19:46,at home,stressed,dark,health,NYC,1 year,No Change
49,15-04-2020,19:46,citibank,bad,bad,isolated,Burnham on sea,1 month,No Change
50,15-04-2020,19:46,In the oil and gas construction sector,Anxious sad confined,Uncertain,Elderly parents and the time it will take to get back to a new normal,London,6 months,No Change
51,15-04-2020,19:46,House wife,Congested,It will help nature andbring people closer,Not getting the bug,Karachi,1 year,No Change
52,15-04-2020,19:46,Aspiroglobal Management Consulting as CEO,Perplexed,Cautious optimism,Uncertainty,"Mumbai, India",3 months,No Change
53,15-04-2020,19:46,Private sector,A bit boring at times but hopeful,Hopefully should rebound,Global health and economic conditions,Dubai,1 month,No Change
54,15-04-2020,19:46,Institute for Citizen-Centred Service,Anxious,"A more closed, insecure and uncertain world.","How long this will last and when will life be ""normal"" again",Ottawa,1 year,No Change
55,15-04-2020,19:46,At home. I'm a homemaker,Anxious,There's going to be a major lifestyle change.,"How long this will last and when will life be ""normal"" again",Karachi,6 months,No Change
56,15-04-2020,19:46,Kpmg,"Insecure about job, family",Regarding covid-19?,Health and employment,Dubai,1 month,No Change
57,15-04-2020,19:46,in school,scary interns of poirs unable to end at their ends. food specially for them,Hope for the best. Allah is great,health for everyone and food for needy people,Karachi Pakistan,1 month,No Change
58,15-04-2020,19:46,Stunning Brand and World Citizen Artists,"Good for climate change benefits, sad for everyone who loses someone",Growth of nationalism but also new solidarity movements and more awareness,What direction humanity will take,Highbridge,3 months,No Change
59,15-04-2020,19:46,In a Federal Government Department,A little bit depressive,I am optimistic. Soon due to efforts of the Government the spread of pandemic will be controlled,Concern for the health of myself and the family. Besides the economic situation of the country due to lock down affecting the low income group.,Karachi Pakistan,3 months,No Change
60,15-04-2020,19:46,I'm a student,I'm okay imwith,Everything will return back to the way it was after the pandemic is gone.,Financial concerns and health concerns.,Melbourne,1 year,No Change
61,15-04-2020,19:46,No where.,Little depressed and bored,In what way,"My kids School, exams and they are on my head",Karachi,1 year,No Change
62,15-04-2020,19:46,"Washington University School of medicine. Progress West Hospital. Christian Northwest Emergency Department, and St. Louis children's Hospital",Anxious. Restless.,Things will change.,When will it hit us?,"Saint Louis, Missouri",1 month,No Change
63,15-04-2020,19:46,Student at the University of Manitoba,at first a little bit disoriented and challenged but now i am adjusted,It will be well and we will overcome all the challenges. We will be stronger and better.,being adopted with my online requirements in school and be safe not be infected with Covid 19. I am thinking of volunteering to help organizations also,Winnipeg,6 months,No Change
64,15-04-2020,19:46,U of M,A little bit of stressful,Unstable,Deadline,Winnipeg,6 months,No Change
65,15-04-2020,19:46,Public Servant with the Province of Manitoba,Manageable if we all do our part,"Good, everyone around the world is working hard to find solutions and it is just a matter of time",I am essential service worker and hoping that I can continue to support the frontline and stay healthy and not burn out,Winnipeg,6 months,No Change
66,15-04-2020,19:46,In the same area,I feel stimulated by changes that will inevitability follow the current situation.,It depends on whether leaders emerge who have the best interests of others at heart and can mobilize other people to rive constructive changr,The depth of the financial impact combined with the weak leadership at the national level,Chicago,1 month,No Change
67,15-04-2020,19:46,Govt associated company,A little disturbed,Future is bright .. we shall overcome,How safe is the world,Doha,3 months,No Change
68,15-04-2020,19:48,Retired,Intensely aware of the seriousness and urgent need to isolate,Uncertain,The fact that we are only at the beginning of community spread of Covid,Winnipeg,6 months,No Change
69,15-04-2020,19:48,Part time Winnipeg Public Library,Intensely aware of the seriousness and urgent need to isolate,"It's difficult to Express views. There are so many thoughts going through my head. I would say my views are formative at best, given how early in in the process we are in Manitoba",The fact that we are only at the beginning of community spread of Covid,Winnipeg,6 months,No Change
70,15-04-2020,19:49,BMC,Anxious,"It will be difficult for a lot of people and businesses to come back from this, in the future","The risk my elderly loved ones face, my friends and family whose lives have been upended.","Hebron, IL",1 month,No Change
71,15-04-2020,19:49,At home,I'm doing okay. It's really the lack of uncertainty.,They seem bleak. On the one hand the human species is resiliant and strong. On the other hand this is unlike anything we've ever experienced.,"Sorry - not ""lack of uncertainty"" but ""lack of certainty"". Also, that's my biggest concern.",San Francisco,1 year,No Change
72,15-04-2020,19:49,Bank of jordan,Worry,Still vague,Economic,Amman,1 month,No Change
73,15-04-2020,19:49,Opentext,"Like nature is taking its revenge, and we all deserve it",Optimistic,Health,Toronto,1 month,No Change
74,15-04-2020,19:49,Government entity,Bored and nervous,Recession,My family's safety,Dubai,1 year,No Change
75,15-04-2020,19:49,Xxx,Really crazy,Will really bounce back,When will this health crisis end,Oh,More than a year,No Change
76,15-04-2020,19:49,Consulting sector,Lot of uncertainty,"Layoffs, reduction in compensation and benefits",Economic impact,Ellicott City,More than a year,No Change
77,15-04-2020,19:49,Service industry,Not great,I think it will get better,Getting a job again,Winnipeg,3 months,No Change
78,15-04-2020,19:49,Manitoba government,There is a lot of info out there but I feel like I don't know what I should be doing,The economy is still going. Employers are laying off to minimize their risks.,"Keeping my family safe, not knowing if I will be at work next week, isolation fatigue",Winnipeg,6 months,No Change
79,15-04-2020,19:49,Car sales,Scared,I think the car manufacturing industry is doomed for ever,Job security and it is quite real,NJ,3 months,No Change
80,15-04-2020,19:49,law firm up north,this is the end of the world mate,when it is over things will get to normal but till then it is going to be like a world war,there will be riots and looting alround soon,Dallas,More than a year,No Change
81,15-04-2020,19:49,Capital Factory,miserable,idk the supply situation looks awful,we are going to run out of food,austin,3 months,No Change
82,15-04-2020,19:49,not work,its ok if you pratise cuation,it will be ok,tell u it will passed,taiwan,1 year,No Change
83,15-04-2020,19:49,Not any more,It is going to get much worse in days to come,we have to survive on what we are getting from government if they run out of money?,financial security we are losing jobs,Toronto,6 months,No Change
84,15-04-2020,19:49,Market research,unsafe,unclear,"illness, financials, no clarity",Amman,3 months,No Change
85,15-04-2020,19:52,company,feeling really bad,bright,food,Toronto,3 months,no change
86,16-04-2020,01:11,office,ok,ok,job security,Melbourne,6 months,none
87,16-04-2020,03:18,Government of Sri Lanka,Uncertain,Uncertain,Food,Colombo,6 months,Consumption
88,16-04-2020,03:26,Government department,Bad,Risky,Peoples lives,Colombo,6 months,Make it simple
89,16-04-2020,05:15,Semi govt deptt,A little uncomforta,Hope for best,When masjids will be fully opened,Islamabad,1 month,No such change
90,16-04-2020,09:19,Employee's Trust Fund Board,Sad,It maybe a hard period for everyone,Quarantine,Kottawa,6 months,Earn our food byy our self & trying to be autonomy
91,16-04-2020,09:30,Employees Trust Fund Board,Sad,Health and economy are not stable,Quarantine,Kottawa,6 months,Trying to make food myself as much as possible
92,16-04-2020,10:52,Entrpreneur,Anxious,Lot of disruption,Job security,Mississauga,3 months,Less travel
93,16-04-2020,11:21,MECON Limited,The situation makes me : feelt Human species is a very tiny part of the Life on Earth and we can fight any situation if we stand united,Future is for those who understand the situation and act for the good of all.,Breaking the Chain- i.e. spread of the Corona Virus,Ranchi,3 months,I will keep myself more healthy and fit.
94,16-04-2020,17:02,own business,worse feeling,future will be dull,food,Quetta,3 months,more virtual
95,19-04-2020,14:02,Student,Scared,It's going to be more difficult,When it will end?,Bengaluru,3 months,Become more active and visit a lot of places
96,19-04-2020,14:14,I don't,Tired totally,No comments,When will this end,Chennai,More than a year,I don't know
97,20-04-2020,13:32,ICCS,Anxious,We are not going back to normal. Things will be different.,What happens after all of this,Ottawa,More than a year,I'll be more cautious of my surroundings.
98,20-04-2020,15:06,Voice of America,Exhausted and irritated,Nothing. Just coping day to day,To get home,Washington,3 months,I want to keep working
99,20-04-2020,15:36,Grocerry market,very bad,I think it will not be improving any time soon,Job Security,Islamabad,6 months,I will spend more time at home
100,20-04-2020,17:40,Salesforce,"Disconnected, isolated, alone, bored",We will never be the same,How will society recover from this?,Seattle,More than a year,call my family more
101,20-04-2020,17:55,The Conference Board,uncertain,"It will all normalize, owever I have to reimagine my life, get creative and not lean on a job for income",income concerns,New York,3 months,"none really, I've always been a germophobe"
102,20-04-2020,23:53,At home,Its fine,Its not certain,Not much,Karachi,More than a year,"Not sure about that yet, too early to say"
103,21-04-2020,10:25,in a small shop,i am feeling really bad to see the condition of the world,"i think nothing gonna be okay, it will be sucking","food is my biggest concern, we have a shortage of food",Mumbai,3 months,"no change, i just need to live, need a food to live, doesn't have enough meal sufficient for daily requirements, how can i think of my lifestyle"
104,21-04-2020,13:09,Dallas,Better,No idea,How to survive,Usa,3 months,Save money
105,21-04-2020,13:27,Self Employed,Confused!,Health and Finance,Health and Finance,Mumbai,6 months,Eat more healthy and work out. Social Distancing.
106,21-04-2020,13:27,Have my own business,"Overwhelming, uncertain but also grateful to be safe","Huge shift in behaviour - workspace, consumer","Safety if near and dear ones, business challenges",Dubai,1 year,Cautious spending
107,21-04-2020,13:29,Nowhere,Fine I guess,Ehh we'll be fine,Lack of social distancing and right wing movements,Karachi,More than a year,Read more
108,21-04-2020,13:29,Energy company,Impatient,Will be scary if Russia and China dominate,Not enough people dying,Birmingham,More than a year,Nothing
109,21-04-2020,13:31,Feedback,Uncertain and apprehensive,Cautiously optimistic,Job and health,Sharjah,1 year,Be more careful about job security
110,21-04-2020,13:45,Business,Good,Positive,Business growth,Hyderabad,6 months,Health
111,21-04-2020,13:47,In a healthcare firm,A little difficult,It's going to be unpredictable but it's not going to be easy or same as before.,Health and safety of family,Bengaluru,6 months,Living simple and avoid luxury
112,21-04-2020,13:52,Your mum's,Shit,Blank,Everything,Perth,More than a year,I wont
113,21-04-2020,14:06,I freelance,Connected but incomplete,It's going to be super bright,How do I go out and achieve what I want,Bengaluru,1 year,Be more active
114,21-04-2020,14:07,Wpp,Good,We will find a way to make this work for us,Whats going to happen in may and beyond,Mumbai,6 months,To be able to make changes as the time rolls along..and not be fixed on anything
115,21-04-2020,14:09,Work for Delta Airlines GSA,Worried for the current safety and future impact,How will it impact the global and national economy and ofcourse causing people losing their jobs,Health safety,Karachi,1 year,I will be more conscious of hygiene outside the house
116,21-04-2020,14:42,Homemaker,Both concerned and relieved- concern for the future and relief as the mad routine has broken,That things will gradually improve,Will the whole scenario impact our financial stability,Karachi,3 months,More time in nature
117,21-04-2020,14:45,"I'm a psychotherapist, working at the Mughal clinic, seeing my clients on line","There's alot of uncertainty, feelings of helplessness and perhaps emptiness at times","I am very hopeful, I'm sure we will get through this too","Children using too much technology, not being physically active",Karachi,3 months,"Having less domestic help, life seems simpler, more manageable and less chaotic"
118,21-04-2020,14:50,"Malls leasing , designing and development",Exhausted and bothered,Hope everything becomes alrite soon,Money,Puducherry,6 months,Be more clean and eat home food more
119,21-04-2020,15:50,Retired,Sad,Hopeful. Humans will get around God problem like they have done in the past,Catching the virus. I'm in the vulnerable category.,Portland,6 months,"Continue as before, but treasure every moment."
120,21-04-2020,17:39,From home,Anxious,Unclear; the world has changed.,Family safety and security; financial.,Ottawa,More than a year,Diet and exercise
121,21-04-2020,17:44,health care,uncertain,Depends on what lessons we learn from the present,PPE,London,6 months,draw closer to my Creator
122,21-04-2020,17:46,Before i became disabled i was a special educator. My forte being autism and Downs Syndrome,Quite stressful,Things seem bleak but there is hope coz if a small state like kerala flattened the curve we can too,Being physically challenged going out to get my daily requirements. No online deliveries on which i use to depend,Mangalore,More than a year,Being physically challenged life is a continous lockdown for me. I rarely go out. I shall try to go out more often
123,21-04-2020,17:47,BBC,im feeling very angry and upser,does this make sense,my job and the future for my kids,Toronto,More than a year,huh
124,21-04-2020,17:54,Self employed,Positive that things will get back to normal,"In a couple of months, life will be normal.. Provided everyone takes their responsibility seriously",Concerned about the virus affecting more people worldwide,Toronto,More than a year,Be more appreciative of our privileges
125,21-04-2020,18:00,"Mississauga, Ontairo",Anxious and stressed,"There is so much uncertainty, so hard to predict what will happen or the overall impact.",Job security,Toronto,6 months,"Practice work life balance, and ensuring that I stay consistent with the routine I have established in my life today."
126,21-04-2020,18:07,Own business,Very distressed,Very disappointing,How long it is going to take for the world to be normal and at what cost,Palakkad,1 year,Proper reasoning
127,21-04-2020,18:13,Bank,Ok,Optimistic,Rise in covid cases,Doha,1 year,To spent only for required things
128,21-04-2020,18:30,I'm a student. Supposed to graduate in May,Nervous,Uncertain,What the next phase of this will be,Bengaluru,1 year,Consumption or utilisation of resources
129,21-04-2020,21:34,home,grateful,uncertain,money,Calgary,1 year,make more money
130,22-04-2020,00:30,Home maker,"Doubtful, are we over reacting, how bad will it affect the poor, will there be riots if it continues for long . Anxious . Fear for my people who are doctors.","A cure or preventive vaccine will be found,of that I'm sure . Life will go on ,but not before some damage is done. Hopefully not too much.",Personally I am not worried . My situation is fine . But my son's are young. Will they lose their jobs ? Will they get sick ?,Bengaluru,3 months,No change.
131,22-04-2020,00:34,Retired,"Needs to be done ....so , make the best of it",This too shall pass,To ensure not to be infected,Mangalore,More than a year,Respect nature more and live more austerity
132,22-04-2020,01:05,Game industry,worried,positive,safety,San Francisco,More than a year,searching for a good job
133,22-04-2020,01:12,Self-employed,Trapped,It will be all ok.,Not being able to see the loved ones abroad.,Mississauga,1 year,Will invest more in health & fitness.
134,22-04-2020,01:27,Health,Fine,Bleak,Return to normal,Toronto,3 months,More infection prevention
135,22-04-2020,01:41,stay home mom,Stressful,hopeful that it'll pass soon,When will schools open,Mississauga,6 months,Not to take a lot of everyday activities for granted
136,22-04-2020,02:03,Downtown,Scared and lonely,I he there is going to be another wave worse than this,When will it be safe,Toronto,6 months,Connecting more with people
137,22-04-2020,02:16,Not telling you,Meh,It's fine.this will all blow over,Money,Vancouver,3 months,Norhing
138,22-04-2020,02:29,Financial services,Very uncertain about the future,Not sure what the future holds,"Health, job security, impact on loved ones",Vancouver,1 year,"Exercise more, save more, develop more skills"
139,22-04-2020,02:49,Own consultancy after retirement,"Ok to start with,but with no end in sight getting irritated","It is going to be New normal, will take at least 2 years to fully recover",Fell stuffed in spite of having a big house.pity those living in PG.,Bengaluru,6 months,I haven't thought of it.
140,22-04-2020,03:04,IT,Hopeless,Difficult times ahead,"Restricted movement, aging parents, job security",Bengaluru,6 months,Reach out for help
141,22-04-2020,03:27,Unemployed,Worried and Confused,Hoping everything gets back to normal soon,Family Health safety and economic stability,Toronto,6 months,Make myself spiritually strong
142,22-04-2020,04:41,For a bank,Overwhelmed,Uncertainty,For the health of my family,Kraków,More than a year,Exercise more
143,22-04-2020,04:48,Hospital,Anxious,Uncertain,Uncertainty about the future,Bengaluru,1 year,Follow healthy lifestyle
144,22-04-2020,04:56,Hospital,Anxious,Uncertain,Uncertainty about the future,Bengaluru,1 year,Follow healthy lifestyle
145,22-04-2020,05:01,Hospital,Anxious,Uncertain,Uncertainty,Bengaluru,1 year,Healthy lifestyle
146,22-04-2020,11:07,Writer and poet .freelance,Trying to adopt new routine.There is no house helpers are coming so feeling exhausted with house course,I am optimistic.i hope sooner the life gets it charms,Waiting to meet and greet my children,Karachi,3 months,Learn better use of digital gadjets
147,22-04-2020,11:29,House wife big work,Trying to be brave,Everything will be fine,Want the world to be beautiful filled with kind humans,Karachi,6 months,Will be a kind hearted human
148,22-04-2020,11:38,I'm self employed,I feel very overwhelmed and concerned for everyone,We're headed into uncertain times,For people who have small businesses and the poor,London,More than a year,Spending even more time with my loved ones and helping the poor
149,22-04-2020,15:40,same,i am feeling really bad,future is dark,food,Mumbai,3 months,same
150,22-04-2020,17:52,CVSB,well unsure of what is about to happen,I think it is going to be a big mess,Security and business,Lahore,More than a year,I will probably exercise a bit more
151,22-04-2020,17:54,baseH,I am an introvert so I am happy,maybe we don;t know yet but it can go either way,well business but I think it will get back to normal soon,Karachi,1 year,now I know that a lot of work can be done by sitting at home so I will make that a part of my new schedule
152,22-04-2020,18:56,Healthcare,uncertain about the future,this is going to drag on,financial well being,Mississauga,1 year,work from home as much as possible
153,22-04-2020,20:16,Oil and gas,Trying to find opportunities in the crisis,Bright inshallah,Safety and Heath,The Hague,More than a year,Will appreciate more the little treasure of life
154,22-04-2020,20:22,Accountancy,Ok,Exciting,Safety and health,The Hague,More than a year,Appreciate
155,23-04-2020,02:57,KPMG,insecure,uncertain,job guarantee and being alive,Hazlet,More than a year,respect nature and be ready for everything
156,23-04-2020,03:10,IT,Different,"Let us learn from this pandemic to love harder, be aware of how short life could be and stay positive, fearless and healthy","Staying focused, positive, motivated and healthy",Thousand Oaks,3 months,Read more
157,23-04-2020,03:19,Philadelp,Pretty normal,Positive,Nothing,Philadelphia,6 months,Excercise more
158,23-04-2020,03:25,IT,Concerned,We need to be extra cautious for a long time,Life after lockdown,Seattle,3 months,More homecooking
159,23-04-2020,04:10,or,Alright,It will be fine,Nothing much,Melbourne,3 months,"Nothing much, just adapt to the situation"
160,23-04-2020,04:23,Government authority,Bad and bored,Not much,Staying healthy,Dubai,6 months,Stay healthy and perhaps have more time with myself
161,23-04-2020,04:51,Retired as teaching faculty in undergraduate college,More careful and concern about individual and society health,Not very easy. Lot of struggle to rebuild every aspect nation wise,Only one keep safe from the pandemic not only my self but the whole mankind,Hyderabad,6 months,Not thought of so far
162,23-04-2020,06:29,House,Sad,Nothing,You,Melbourne,1 month,Nothing
163,23-04-2020,06:44,in an INGO,confused and anxious,"a tough time is ahead, but all will be alright after a year or two",health of my loved ones,Lahore,1 year,simplicity
164,23-04-2020,08:37,I m a student,Tensed,A better world,Health issues normalisation of life,Islamabad,3 months,Learn more work hard and thankful for all that i have
165,23-04-2020,10:07,research,Not too good,optimistic,recession,Jakarta,6 months,health
166,23-04-2020,10:09,New York City,Stressful,Hoping for a vaccine soon,Containment of and recovery from virus,Scarsdale,More than a year,Cleanliness and hygiene
167,23-04-2020,10:55,Running own business,"The same as usual,no real difference","Very positive, things always get better even if the ride is a bit bumpy",Financial well-being and safety of others,London,3 months,"Nothing, life is perfect just the way it is and we need to hold on to our customs to ensure a shared experience across generations"
168,23-04-2020,11:21,Self employed I am a seasoned entrepreneur and work mainly from home and (was) working essentially outside socialising and networking into high end events,The uncertainty is a big anxiety factor. We need to know when we can resume to action,It will certainly be some opportunity to cease,How to survive financially such a catastrophe,Dubai,1 year,I have always live in the moment and follow the flow. I am driven by an optimistic mind that cease opportunity and always look at the best out of a situation as dramatic as it can be
169,23-04-2020,11:46,Ottawa,A bit anxious,Generally positive,Health of my family members,Ottawa,More than a year,Spend more time with family and doing some fun things in life!
170,23-04-2020,11:58,Sherbrooke,Uncertain,Uncertain,Job,Sherbrooke,6 months,Dont know yet
171,23-04-2020,13:37,house wife,Really bad,future is dark,food,Toronto,too many months,no change
172,23-04-2020,14:16,National Institute of Cardiovascular Diseases (NICVD),The current situation makes me feel 'challenged',"We live everyday (and die only once). Let us live everyday making one contribution that brings a smile to everybody we interact. Above all, let's do one kind deed each day to add to the beauty of Mother Earth.","As a Pakistani, I (as my government) am concerned about finding the right balance between ensuring 'stay-at-home/maintaining social distancing' and ensuring 'feeding' the poorest-of-the-poor.",Karachi,6 months,"I will consciously thank God for the fresh air, sunlight, the moon, and the stars. I will thank God each night for blessing me with family and friends who love me and care for me."
173,23-04-2020,14:40,Bank,"Well it is very difficult to adopt and live like that, kind of depressing too but try to positive analyzing myself my weakness and try to improve myself",Can't say much in that regard,How to stay positive,Karachi,3 months,Well hope this situation make me better person and I start appreciating things which we usually taking very casually
174,23-04-2020,14:42,Telco,Not very good,Bleak,Job secitity,İstanbul,1 year,None for me
175,23-04-2020,16:01,dubai,Anxious,positive,financial,Dubai,6 months,spend less
176,23-04-2020,16:15,Consulting,Stressed,"Fairly positive. Humans learn and adjust well, typically",corporate revenue impacts,Ottawa,6 months,"Cutting out some of the luxuries I don't need, focusing more on time spent with people I love"
177,23-04-2020,16:15,Consulting,Stressed,"Fairly positive. Humans learn and adjust well, typically",corporate revenue impacts,Ottawa,A year,"Cutting out some of the luxuries I don't need, focusing more on time spent with people I love"
178,23-04-2020,18:43,Assessment expert,Confused and surprised,Positive,Kids education and healthy,Dubai,1 year,There are many things not necessary
179,23-04-2020,19:46,I am a businessman..I own a company named Najam Khan& Sons and working as COO.,Feeling to create an opportunity in these hardtimes,There would be more innovations in field of education and work techniques,Slow growth in business,Karachi,6 months,Become more independent...
180,23-04-2020,20:31,Colgate Palmolive Pakistan,Anxious and insecure,Pessimistic - actual menace is yet to fall may god have mercy on us all,Job security,Karachi,More than a year,More home made food
181,23-04-2020,21:29,Student,Anxious,"Cynical, not very positive",Keeping myself mentally and physically healthy,Toronto,More than a year,I havent made any great thoughts about changes that i did not have before
182,23-04-2020,22:05,I am a Chartered Accountant and work as Head of Finance in a manufacturing comany,Depressing,Due to global lock downI personally feel new opportunities will arise and demand for goods & services will generate,Job loss and to find new one,Karachi,3 months,Will look for multiple earning options
183,23-04-2020,23:16,Student,Irritated,Uncertain,Regarding economic recession,New Delhi,3 months,Get fit and put in more working hours
184,23-04-2020,23:21,"Consultant, DC but work across the country for public firms , non profits and trades","reflective, grateful and resilient",I am an optimist but believe we will have a slow recovery(years),"I work in the housing industry--i am worried about liquidity, I am worried about the homeless and those who can not afford rent, and worry about our sytems breaking down to offer support to those who need it.",Washington,1 year,z
185,23-04-2020,23:44,Intelligenes,concerned but optimistic,People will help each other and will act more ethically,future of work,Burlington,6 months,Help others so that you help yourself
186,24-04-2020,01:42,Mississauga,Not fully relax,Cool,Prepare for tomorrow,Hamilton,3 months,More closure to God
187,24-04-2020,01:52,I am studying,Bad,Economic recession,"Economy, Health",San Jose,1 year,I will be saving more money
188,24-04-2020,02:11,All over I'm a contractor,Creative! It's amazing how you can come up with activities to keep engaged,We will be more prepared should another pandemic occurs,My older brother in a nursing home and my siblings with asthma,New York,More than a year,No shaking hands and keep washing them frequently after being out and about
